"V1"	"pca.x...1."	"pca.x...2."
"72"	"Dani Rodrik"	-4.65067950103944	2.26093779366292
"73"	"Ben Bernanke"	1.17225086240237	1.38285227759034
"74"	"Ross Levine"	0.0748768584114368	0.862772900400152
"75"	"Timothy Besley"	-4.70167186224719	-1.38751810977896
"76"	"Thomas Sargent"	1.44970074273929	0.950784326901521
"77"	"Friedrich Schneider"	-4.98498011392103	-2.00783280081858
"78"	"Lawrence Christiano"	3.12777747378945	0.799294816613128
"79"	"Jeffrey Wooldridge"	4.30662862272363	-1.01363596625954
"80"	"John Campbell"	2.1869407418851	0.769891375127673
"81"	"Rafael La Porta"	0.701930828998489	-0.924983617941135
"82"	"N. Gregory Mankiw"	1.08780089237529	0.693622417355804
"83"	"Christopher Baum"	2.87027224688685	0.134756188461912
"84"	"Kenneth French"	2.97597210535916	-0.249906896179867
"85"	"Drew Fudenberg"	-0.398972857016082	-2.01408565442611
"86"	"Francis Diebold"	3.2791456080954	0.196579789410986
"87"	"John Whalley"	-2.92001429639817	0.847773007033344
"88"	"John Taylor"	1.64895205128383	0.953416836935996
"89"	"Stephen J Turnovsky"	0.674818015406477	0.644018775754156
"90"	"Halbert White"	4.36059524408788	-1.55944968144312
"91"	"Nicholas Cox"	2.69993200835058	-1.52227904694637
"92"	"Eugene Fama"	2.87237587147319	-0.313039957512222
"93"	"Edward Glaeser"	-2.21779732226981	-2.28086748175968
"94"	"Robert Shiller"	0.665395796082902	0.963313632690448
"95"	"Edward Prescott"	1.38893938624045	0.130242162877532
"96"	"Asli Demirguc-Kunt"	-1.40405873519496	1.76517095956734
"97"	"Christopher Sims"	2.73766110599178	0.0454619689487214
"98"	"Richard Blundell"	1.69370150190073	-2.1569061820336
"99"	"Alan Auerbach"	-0.51614401047007	1.07021192959413
"100"	"Michael Jensen"	2.1832100305784	-0.367531891759605
