,Ren̩ Stulz,Jeremy Stein,Raghuram Rajan,Luigi Zingales,Andrei Shleifer,Robert Vishny,Ross Levine,Asli Demirguc-Kunt,Florencio Lopez-de-Silanes,Rafael La Porta,John Campbell,Michael Jensen,Joshua Aizenman,Barry Eichengreen,Kenneth French,Andrew Rose,Robert Shiller,Mark Gertler,Maurice Obstfeld,Robert Merton,Eugene Fama,Robert Engle,Ben Bernanke,Joseph Stiglitz,Jeffrey Frankel,James Poterba,Lawrence Summers,Alan Auerbach,Michael McAleer,Elhanan Helpman,Robert Barro,Christopher Baum,Martin Feldstein,Jean Tirole,Kenneth Rogoff,Edward Prescott,Martin Eichenbaum,Timothy Besley,Stephen J Turnovsky,Robert Hall,Guillermo Calvo,Tim Bollerslev,Daron Acemoglu,Lars Svensson,Francis Diebold,Carmen Reinhart,N. Gregory Mankiw,John Taylor,John List,M Pesaran,Olivier Blanchard,Alan Krueger,John Whalley,Michael Woodford,Dani Rodrik,Peter Diamond,Richard Freeman,Paul Milgrom,Ernst Fehr,Bruno Frey,Robert King,David Romer,Alberto Alesina,Jordi Gali,Clive Granger,Thomas Sargent,Martin Ravallion,Robert Lucas,Clement Tisdell,David Card,Jacques Thisse,Christopher Sims,Richard Blundell,Jerry Hausman,Peter Nijkamp,Edward Glaeser,Angus Deaton,Robert Gordon,Lawrence Christiano,Lars Hansen,Paul Krugman,James Stock,Jean-Jacques Laffont,Friedrich Schneider,James Heckman,Lawrence Katz,Halbert White,Mark Watson,Gary Becker,Peter Phillips,Drew Fudenberg,Joshua Angrist,Hans-Werner Sinn,Jeffrey Wooldridge,Ilhan Ozturk,George Borjas,Whitney Newey,Nicholas Cox,Donald Andrews,Ben Jann,V1
John Campbell,0.218770307,0.078530312,0.075303784,0.17383185,0.104106492,0.123794117,0.074149161,0.126264464,0.079766786,0.154355963,0.050192874,0.22047655,0.043718647,0.15712374,0.063903631,0.071538593,0.134587647,0.052352626,0.075696879,0.094803201,0.129616879,0.06445238,0.047089217,0.224990416,0.089635065,0.093729775,0.035753184,0.098642399,0.169613304,0.092844827,0.107502113,0.108793669,0.195011184,0.125908846,0.162450407,0.141194928,0.183597549,0.070165773,0.090805427,0.149941674,0.075244548,0.053128838,0.119358173,0.068303232,0.145971837,0.132546077,0.138798408,0.059959769,0.161180238,0.09618987,0.073233195,0.048755223,0.143844377,0.132445047,0.070928459,0.069188384,0.139498627,0.089811465,0.069860101,0.074572472,0.115111399,0.056283649,0.026620625,0.104685367,0.057014512,0.040413422,0.180366074,0.110192243,0.018309515,0.152427333,0.045426071,0.06586919,0.141140856,0.12668273,0.089992232,0.120904729,0.076599107,0.103419481,0.084862663,1,0.076487718,0.2003804,0.129756997,0.196449004,0.05048857,0.197991814,0.084212442,0.101548533,0.154252314,0.088104092,0.014602101,0.181977789,0.063726749,0.392874115,0.10686954,0.126401444,0.097233955,0.096406991,0.12856581,0.072476836,John Campbell
Michael Jensen,0.216158494,0.024274539,0.074098125,0.023084336,0.031880197,0.060052818,0.031069622,0.169832114,0.026254038,0.087445861,0.008817061,0.140108925,0.052125171,0.070435217,0.02270709,0.072127115,0.058636356,0.034728943,0.025367709,0.079611576,0.046141265,0.039668397,0.012708976,0.025498863,0.027522576,0.079723405,0.013577427,0.035056984,0.06780884,0.048554961,0.072399523,0.055549626,0.02070152,0.044221326,0.032618902,0.020222165,0.062909008,0.030956308,0.047684465,0.01174916,0.062268184,0.047658822,0.177491426,0.050520293,0.036942078,0.017783493,0.130749501,0.011708362,0.033628242,0.037244641,0.028286434,0.03229868,0.050943501,0.034402348,0.009238106,0.026060584,0.030441728,0.04152322,0.05736296,0.034013505,0.041752611,0.058938888,0.009935033,0.025439263,0.021232054,0.039713044,0.020259985,0.027957281,0.006001241,0.07160833,0.072254941,0.036988143,0.033458651,0.057203886,0.092954357,0.051598249,0.030607111,0.028246488,0.010666286,0.072476836,0.056492217,0.061830712,0.028936104,0.053867702,0.044997145,0.028322916,0.044069024,0.024946706,0.043619417,0.017336302,0.012305326,0.054263775,0.046403882,0.056549211,0.072589414,0.052895159,0.038209551,0.031377035,0.079751553,1,Michael Jensen
Joshua Aizenman,0.187789923,0.071060738,0.08319136,0.075984579,0.121206837,0.131394928,0.084679512,0.21696576,0.223513563,0.137791172,0.028745501,0.156486382,0.056792705,0.287886709,0.077202674,0.09269067,0.336607876,0.095582137,0.089966487,0.102762818,0.284241819,0.110870296,0.04430191,0.116944311,0.086084724,0.168802891,0.052339484,0.150858125,0.216281149,0.156518722,0.208879073,0.166977862,0.089255167,1,0.163611284,0.065124099,0.135413613,0.119418314,0.100479751,0.080165732,0.119222558,0.157593503,0.108700788,0.092374688,0.192442893,0.0633252,0.087323097,0.040027993,0.107866572,0.257284958,0.085420781,0.126083769,0.322990878,0.056058514,0.089460892,0.071241581,0.206213226,0.129979112,0.168396905,0.111141851,0.161231541,0.085012629,0.039761924,0.144641325,0.215897449,0.074092358,0.126521923,0.139496292,0.01861311,0.183584304,0.088388949,0.1872794,0.154282716,0.157578585,0.158771344,0.13055224,0.07681209,0.133400413,0.046495279,0.125908846,0.074521071,0.154979988,0.118465727,0.047207178,0.052131975,0.117686348,0.240492075,0.186671733,0.244970287,0.06329428,0.016335167,0.050674565,0.067356039,0.115641062,0.159786353,0.192953661,0.114591164,0.10765924,0.195954462,0.044221326,Joshua Aizenman
Barry Eichengreen,0.179954133,0.076141015,0.086512306,0.061254342,0.101920796,0.133894715,0.08145106,0.267185313,0.316291339,0.189547966,0.030258216,0.167346764,0.114641371,0.370622702,0.060658743,0.161799252,1,0.296320507,0.097720614,0.185122162,0.306299076,0.195653158,0.050190344,0.093299518,0.088148826,0.175050515,0.084119403,0.138374738,0.247482751,0.336462595,0.343292479,0.192211804,0.055173661,0.336607876,0.127990821,0.060748899,0.108812112,0.265913388,0.103731496,0.051742414,0.229955028,0.204612191,0.116508185,0.108948325,0.18469791,0.060965274,0.065973236,0.035346303,0.100955573,0.365077334,0.117344518,0.273906633,0.352996999,0.046973758,0.078496933,0.070723845,0.182345592,0.117408678,0.161838206,0.096141097,0.153868483,0.196549408,0.051076492,0.141674207,0.351810027,0.321104848,0.113854545,0.13083053,0.026032503,0.181032989,0.082826046,0.308246124,0.182535359,0.173132065,0.183285886,0.124269168,0.111569537,0.239352498,0.036898508,0.134587647,0.144811509,0.149730259,0.120964639,0.040636533,0.045161434,0.089381077,0.246527485,0.211570744,0.193652267,0.139863657,0.020317166,0.043519707,0.073027182,0.113583376,0.147376697,0.202984409,0.146415643,0.217808572,0.184080428,0.058636356,Barry Eichengreen
Kenneth French,0.164868452,0.034257839,0.031894837,0.060597554,0.031760096,0.044939726,0.040177964,0.058636406,0.023712607,0.087445579,0.016118193,0.147578105,0.019300526,0.059051324,0.023868304,0.048681388,0.040636533,0.022124219,0.022832875,0.072430039,0.038197156,0.041409372,0.026300217,0.095837846,0.034462308,0.039766821,0.008782043,0.019907935,0.089184544,0.031548139,0.044932066,0.065979027,0.055745675,0.047207178,0.049244487,0.026722434,0.111174841,0.021124491,0.037985973,0.024697626,0.037079891,0.022666859,0.063376377,0.046298603,0.044718512,0.028381957,0.086772554,0.019731497,0.018337938,0.045576887,0.022968299,0.017527928,0.045745094,0.025247871,0.010273959,0.02864189,0.043274604,0.032418876,0.033607366,0.044028009,0.026250325,0.019573105,0.012870521,0.034069242,0.023717891,0.013200795,0.0507411,0.038859573,0.004998886,0.060513987,0.021106045,0.027513016,0.038766951,0.046484933,0.035647743,0.026750464,0.012614241,0.032025221,0.038546955,0.196449004,0.055921275,0.094544491,0.05844151,1,0.020003886,0.057931774,0.024731034,0.032104771,0.042710703,0.028677516,0.008824634,0.830132784,0.020816819,0.098347277,0.062450102,0.064578289,0.026477526,0.025504655,0.090887852,0.053867702,Kenneth French
Andrew Rose,0.157473172,0.061087282,0.085295981,0.084163493,0.09433879,0.132355585,0.072846809,0.164269916,0.180164804,0.103161664,0.045707169,0.130290206,0.052841909,0.411915024,0.046405576,0.060081193,0.306299076,0.058038118,0.064294668,0.059949631,1,0.130896037,0.037547399,0.12678303,0.073402304,0.137948418,0.036075872,0.124967787,0.122097385,0.121995636,0.115938152,0.103781995,0.125002466,0.284241819,0.126411257,0.082078577,0.089236262,0.07672122,0.094996203,0.093768361,0.092139022,0.119853577,0.084458388,0.095398404,0.142943923,0.077494717,0.040218264,0.048815917,0.073184416,0.229015703,0.065474236,0.106700456,0.312495338,0.04939599,0.068858402,0.060325848,0.209762959,0.103128596,0.165036835,0.067310909,0.257870286,0.077519572,0.032511393,0.082396203,0.151058905,0.050674819,0.124839662,0.138899455,0.022511039,0.171513679,0.069193684,0.11560247,0.116542875,0.116445036,0.093589145,0.097555863,0.056155532,0.093033042,0.056672991,0.129616879,0.046935184,0.111568133,0.148898352,0.038197156,0.045337746,0.134473148,0.213234861,0.140011152,0.151674901,0.067730217,0.019176326,0.036119587,0.042871362,0.099815591,0.083147424,0.127592766,0.101413541,0.067474156,0.081055707,0.046141265,Andrew Rose
Robert Shiller,0.153998545,0.07711093,0.089230721,0.126127482,0.100256352,0.120197701,0.094301074,0.127716936,0.077585995,0.145611227,0.057002472,0.182234562,0.052407661,0.116322972,0.067261386,0.072390503,0.113583376,0.066601776,0.072267759,0.092368143,0.099815591,0.072399791,0.056119455,0.146141901,0.099931568,0.097136427,0.0250975,0.086592719,0.170866193,0.092351344,0.135156793,0.109363713,0.089391943,0.115641062,0.121493486,0.117771678,0.198403686,0.095706491,0.101908322,0.123818005,0.090797809,0.067427441,0.119991651,0.07760678,0.106798322,0.122578539,0.123111601,0.061823101,0.067379172,0.090565005,0.08239413,0.061169337,0.103065725,0.068465437,0.055519374,0.090431809,0.102512584,0.072708622,0.069957995,0.099565686,0.086366472,0.069683219,0.041470427,0.092728834,0.065531757,0.043424368,0.138700683,0.058778581,0.029655002,0.124250349,0.106575238,0.074396896,0.128092878,0.093388573,0.093577967,0.107674159,0.038073813,0.081102261,0.090559035,0.392874115,0.07139558,0.133728096,0.082396642,0.098347277,0.061618227,0.13002713,0.090012588,0.117039129,0.115291204,0.094130238,0.024092125,0.098019448,0.12467104,1,0.103739763,0.094447317,0.099026758,0.090354649,0.122264306,0.056549211,Robert Shiller
Mark Gertler,0.153598057,0.056985697,0.076063006,0.060794419,0.187854734,0.175905155,0.065858551,0.240444725,0.130670278,0.143530383,0.032284295,0.21234162,0.057378708,0.176740303,0.050596021,0.055358401,0.18469791,0.052898758,0.059983496,0.093947363,0.142943923,0.085556031,0.045420717,0.098192793,0.057777082,0.124851744,0.03222458,0.252757918,0.154776967,0.146009249,0.149680781,0.124072217,0.078764469,0.192442893,0.092303901,0.104252056,0.107331159,0.066355552,0.091622944,0.137329864,0.110863269,0.090668041,0.092647123,0.086045341,1,0.075026542,0.092234666,0.048486978,0.056015187,0.161172544,0.059195822,0.063036102,0.202932116,0.057179821,0.030027058,0.065204815,0.225652916,0.200378757,0.144045192,0.109199806,0.206906247,0.060834083,0.023656448,0.142555981,0.081294629,0.048240675,0.108221298,0.430740317,0.015887932,0.164771625,0.094880681,0.085948745,0.353601124,0.17954681,0.124493848,0.120165086,0.038870245,0.187870262,0.060968399,0.145971837,0.048234776,0.175629276,0.111210083,0.044718512,0.055570242,0.120694099,0.094785975,0.234173453,0.171370986,0.058817408,0.015437977,0.057070837,0.049339684,0.106798322,0.147629743,0.19664861,0.183855356,0.074039193,0.11803558,0.036942078,Mark Gertler
Maurice Obstfeld,0.151367092,0.054665499,0.072496038,0.068327071,0.144352158,0.144945475,0.059945971,0.178990449,0.240841351,0.102778661,0.029195983,0.14033349,0.047893212,0.396326487,0.063051926,0.054033505,0.352996999,0.057797582,0.070161553,0.062255674,0.312495338,0.074565175,0.035746291,0.09394682,0.086254942,0.117728034,0.046590387,0.176627509,0.157879494,0.151320326,0.142994372,0.158991438,0.081730589,0.322990878,0.099421577,0.068571003,0.094309024,0.065276156,0.098161529,0.082226159,0.10172522,0.129801429,0.084486006,0.080329201,0.202932116,0.068673886,0.076734125,0.045482132,0.071912195,0.329631513,0.064935822,0.089753412,1,0.068525502,0.056405326,0.061008506,0.233365566,0.131026727,0.164575692,0.080009201,0.271206611,0.069815989,0.027985146,0.095663355,0.158907586,0.042072908,0.114286517,0.163873863,0.0250952,0.195491893,0.06817593,0.132540706,0.169490297,0.133452419,0.115268146,0.112452633,0.05483119,0.1128903,0.048113734,0.143844377,0.040840391,0.174091339,0.10872004,0.045745094,0.053776502,0.117769945,0.15986853,0.192224705,0.247925781,0.054500814,0.024154258,0.044190464,0.057079099,0.103065725,0.106384449,0.123221736,0.150785834,0.076780807,0.207165674,0.050943501,Maurice Obstfeld
Robert Merton,0.144959068,0.037963654,0.058679924,0.055955673,0.055862344,0.073976687,0.074892594,0.102465811,0.040873316,0.098408797,0.015619259,0.141063428,0.046641817,0.058575548,0.04321583,0.055267148,0.065973236,0.036039272,0.028252643,0.060783899,0.040218264,0.062227997,0.026065828,0.081145629,0.043989425,0.066626039,0.021996698,0.053374684,0.090557881,0.052276312,0.128823791,0.164122357,0.060438779,0.087323097,0.091366174,0.07164197,0.122253454,0.044708355,0.080084121,0.041048049,0.078470917,0.030647372,0.11438238,0.059945749,0.092234666,0.046100387,1,0.028089374,0.035069647,0.050601686,0.094872199,0.026458974,0.076734125,0.062167469,0.014167579,0.046505432,0.055649278,0.040731847,0.046706197,0.154571225,0.050941475,0.041445781,0.024963473,0.04850958,0.026299536,0.042866429,0.065568096,0.050263783,0.018666372,0.070399984,0.043777916,0.044039832,0.070576253,0.073065939,0.078365541,0.072800846,0.022970572,0.048116229,0.057899706,0.138798408,0.048002503,0.07330082,0.053071194,0.086772554,0.050896139,0.067536997,0.045522813,0.075538773,0.075481432,0.033936352,0.013913001,0.096207386,0.0471827,0.123111601,0.079444277,0.087416226,0.041208244,0.067855047,0.10455789,0.130749501,Robert Merton
Eugene Fama,0.14453835,0.037152643,0.037138325,0.050106751,0.033019322,0.073169132,0.048902531,0.07040034,0.025336992,0.097598722,0.014604562,0.125184601,0.032737868,0.047026898,0.0287301,0.053421588,0.043519707,0.028417295,0.023044404,0.069997779,0.036119587,0.042593608,0.028062467,0.096188392,0.031783468,0.059089212,0.00924666,0.028445079,0.090161554,0.038666398,0.059924529,0.067400387,0.058214204,0.050674565,0.049384865,0.027646451,0.088484211,0.022609158,0.043988091,0.028770941,0.055714702,0.025344051,0.06892011,0.047896493,0.057070837,0.027396768,0.096207386,0.025280388,0.020212559,0.052178229,0.026845923,0.017992998,0.044190464,0.043651792,0.010038262,0.032904202,0.073844043,0.036633373,0.044550908,0.052597639,0.029556202,0.022687549,0.016548288,0.032473551,0.028396557,0.021893656,0.048577764,0.049137808,0.006154519,0.074063136,0.069282775,0.027381643,0.041659912,0.050113368,0.042610616,0.029704848,0.015950542,0.034526062,0.040010071,0.181977789,0.058066495,0.086278697,0.067715402,0.830132784,0.082361839,0.058172133,0.02861136,0.025673831,0.062373611,0.028549319,0.008994141,1,0.022715014,0.098019448,0.064149697,0.072771144,0.022270387,0.030449417,0.080961013,0.054263775,Eugene Fama
Robert Engle,0.140055615,0.032523393,0.054919837,0.281823082,0.074237613,0.074519779,0.046232833,0.086376515,0.05694685,0.074756865,0.112695655,0.160183059,0.039071202,0.102624582,0.030698569,0.028997042,0.093299518,0.032334815,0.041980525,0.043364726,0.12678303,0.044588402,0.05510592,1,0.046991421,0.072622978,0.016110633,0.072234913,0.087032615,0.050964034,0.070668301,0.056760297,0.418026444,0.116944311,0.454272574,0.184146819,0.072004149,0.052626055,0.045040742,0.199987616,0.064936431,0.039120475,0.061832974,0.053254893,0.098192793,0.202629194,0.081145629,0.159708789,0.043428499,0.079119937,0.102432937,0.028682021,0.09394682,0.083259351,0.073584972,0.064753679,0.094689734,0.069797824,0.06813945,0.045457487,0.078978272,0.037078191,0.023323247,0.053103254,0.044668089,0.03685085,0.185884859,0.063557238,0.01695713,0.083426182,0.037207871,0.049263045,0.091900242,0.095714619,0.062932144,0.089803816,0.023078716,0.071416551,0.169331445,0.224990416,0.028692249,0.088339209,0.132236961,0.095837846,0.037766693,0.342168768,0.061609092,0.070615269,0.089864947,0.158307364,0.027013468,0.096188392,0.031479165,0.146141901,0.047835312,0.090852025,0.115605154,0.075766257,0.076789047,0.025498863,Robert Engle
Ben Bernanke,0.135604278,0.05399944,0.079013502,0.08701566,0.150055114,0.130115406,0.064507607,0.186882203,0.10995776,0.122102343,0.034262576,0.161552928,0.036175884,0.136130656,0.050157435,0.048635049,0.182535359,0.033884396,0.054309904,0.096113427,0.116542875,0.073154673,0.037374874,0.091900242,0.046065629,0.097769022,0.0271609,0.260759596,0.127133375,0.117180101,0.122100844,0.109944799,0.062220999,0.154282716,0.134453725,0.141059546,0.090648551,0.06339509,0.080543725,0.178668542,0.090401559,0.073537839,0.084824473,0.087664799,0.353601124,0.089494491,0.070576253,0.037450163,0.061953659,0.122258536,0.062528753,0.057088182,0.169490297,0.067211235,0.03290419,0.06046851,0.152250384,0.202524176,0.084431149,0.075115632,0.181485884,0.069829914,0.022839051,0.111918627,0.07853012,0.037064306,0.163769126,0.162639199,0.01528946,0.13736087,0.061938319,0.0816868,1,0.143556047,0.115841128,0.116824344,0.036725242,0.143821533,0.058580981,0.141140856,0.043883506,0.177468099,0.097024553,0.038766951,0.050288741,0.117338841,0.077799615,0.24163891,0.121897197,0.0782445,0.018231316,0.041659912,0.053138549,0.128092878,0.126124846,0.147901001,0.176998134,0.062090708,0.128156331,0.033458651,Ben Bernanke
Joseph Stiglitz,0.135111799,0.087359813,0.109330717,0.06466682,0.113331297,0.144339431,0.101545087,0.191175316,0.328197766,0.233812283,0.04319435,0.143189578,0.119660886,0.13931158,0.078039272,0.232148434,0.343292479,0.338474692,0.099632934,0.273357269,0.115938152,0.149739904,0.051017392,0.070668301,0.088875912,0.206163137,0.066167684,0.125869827,0.273229503,0.316258632,1,0.153036568,0.03821326,0.208879073,0.097065016,0.078727491,0.124172023,0.312548767,0.112367662,0.075408611,0.274901246,0.133092547,0.132918662,0.113921364,0.149680781,0.064569521,0.128823791,0.045365773,0.118115823,0.267520341,0.18534531,0.383775506,0.142994372,0.054392599,0.043585831,0.086155701,0.100603404,0.107867846,0.137275176,0.182710457,0.105201151,0.190459846,0.061246057,0.10462336,0.417024897,0.355838913,0.097870874,0.100162277,0.023957053,0.146961044,0.118470666,0.404115489,0.122100844,0.122277948,0.203070133,0.131235672,0.148285979,0.272760549,0.045794189,0.107502113,0.233247415,0.156862778,0.065529533,0.044932066,0.079571261,0.082377397,0.151327434,0.129910549,0.178158344,0.17690388,0.024337902,0.059924529,0.105044452,0.135156793,0.118603752,0.172303272,0.092863459,0.293428106,0.17403979,0.072399523,Joseph Stiglitz
Jeffrey Frankel,0.135097439,0.053771247,0.087982447,0.093226034,0.110878956,0.122831108,0.069040684,0.140590332,0.2366442,0.116001795,0.03635439,0.131118371,0.045234107,1,0.048749072,0.06526119,0.370622702,0.073912414,0.09062775,0.072064558,0.411915024,0.085246737,0.043157668,0.102624582,0.101240663,0.114934806,0.045641221,0.139454255,0.135883985,0.145839296,0.13931158,0.149940169,0.092619574,0.287886709,0.147450521,0.090835875,0.104081454,0.090416887,0.080407658,0.109657155,0.088070792,0.145430619,0.086551301,0.082627817,0.176740303,0.085348904,0.058575548,0.050068935,0.095995264,0.233206553,0.105818345,0.117880338,0.396326487,0.04889446,0.097455038,0.063266374,0.236533798,0.11610126,0.165551989,0.082753097,0.26210247,0.067531918,0.037158585,0.115935965,0.175114289,0.05602093,0.139720893,0.148648653,0.024119575,0.181548435,0.063533686,0.147762117,0.136130656,0.104778844,0.113046806,0.106977758,0.064509344,0.115772962,0.056004823,0.15712374,0.050996497,0.134630394,0.141953061,0.059051324,0.047823834,0.124165484,0.20268602,0.181101199,0.18120726,0.076988563,0.020280738,0.047026898,0.057226283,0.116322972,0.103972812,0.129858014,0.136864743,0.068892666,0.157644796,0.070435217,Jeffrey Frankel
James Poterba,0.133372497,0.103456767,0.076875234,0.054908384,0.072957407,0.150338158,0.13375179,0.093315968,0.059552261,0.136461531,0.029234104,0.11897318,0.040822967,0.104081454,0.105672777,0.094552511,0.108812112,0.047439898,0.069809794,0.094755617,0.089236262,0.084382706,0.050499353,0.072004149,0.123359189,0.105329992,0.035160582,0.059976438,0.234773853,0.100751461,0.124172023,0.383637416,0.052484397,0.135413613,0.071146503,0.084546592,1,0.058547509,0.061685505,0.045619266,0.07279576,0.091371229,0.131511854,0.109267677,0.107331159,0.045714865,0.122253454,0.043121353,0.063834016,0.080950787,0.095296188,0.044882657,0.094309024,0.043629053,0.039558066,0.066240257,0.131797309,0.099453282,0.071944317,0.266035159,0.063607233,0.072948635,0.052119785,0.074337104,0.050959018,0.030870589,0.062600734,0.059110491,0.018292307,0.152189314,0.063248196,0.068820005,0.090648551,0.089259917,0.157690392,0.089608994,0.073736247,0.065137635,0.043865871,0.183597549,0.080238084,0.151669225,0.073380467,0.111174841,0.031890019,0.069636037,0.126750568,0.098435191,0.164065391,0.04446173,0.016644599,0.088484211,0.079231142,0.198403686,0.166717848,0.115610439,0.057774932,0.156707106,0.280533017,0.062909008,James Poterba
Lawrence Summers,0.132075682,0.151501736,0.104664129,0.08541857,0.125272184,0.191113811,0.130796551,0.12579141,0.215914411,0.258529914,0.042195455,0.158633906,0.092586012,0.135883985,0.105584064,0.195586214,0.247482751,0.201379916,0.084765645,0.224661756,0.122097385,0.166160313,0.073620055,0.087032615,0.12232298,0.161107831,0.043746607,0.121238713,1,0.287975287,0.273229503,0.274901682,0.068638514,0.216281149,0.101235186,0.08412296,0.234773853,0.185284629,0.087565183,0.091325223,0.162372335,0.111221293,0.109381034,0.137332866,0.154776967,0.067524381,0.090557881,0.045340708,0.087994302,0.188685921,0.139434889,0.232474774,0.157879494,0.069904138,0.043946527,0.096908538,0.140949164,0.133945848,0.099255636,0.157863195,0.111646015,0.137055604,0.064219132,0.166000618,0.26385219,0.201854793,0.09394738,0.113885125,0.02230841,0.184632667,0.104777516,0.249701551,0.127133375,0.121481722,0.158920997,0.13856434,0.093581021,0.228755545,0.047509923,0.169613304,0.198803189,0.192215679,0.080454541,0.089184544,0.071489157,0.106608496,0.150688324,0.129356778,0.187852884,0.116688009,0.022094583,0.090161554,0.088986754,0.170866193,0.145378842,0.107964671,0.092201564,0.214417652,0.272321614,0.06780884,Lawrence Summers
Alan Auerbach,0.130332368,0.059928327,0.085322166,0.068275668,0.130465256,0.137154012,0.082668009,0.112631552,0.099327628,0.130786923,0.036134684,0.120068273,0.068926134,0.157644796,0.10518556,0.092069909,0.184080428,0.07642083,0.076780952,0.10135919,0.081055707,0.082529773,0.044767034,0.076789047,0.082346109,0.142959227,0.059762432,0.172237927,0.272321614,0.166236036,0.17403979,0.351700988,0.058023599,0.195954462,0.079449702,0.092264287,0.280533017,0.067853426,0.065336061,0.099173873,0.109047629,0.188046334,0.113896434,0.073824883,0.11803558,0.0569012,0.10455789,0.059369861,0.072974507,0.136640258,0.093107828,0.077860946,0.207165674,0.051888442,0.042367329,0.08801174,0.14780935,0.155573814,0.126265664,0.200394547,0.117072206,0.079595229,0.027526701,0.091669347,0.076273439,0.050529754,0.093189105,0.116650695,0.020463483,0.22531186,0.07758348,0.110811859,0.128156331,0.10300602,0.238365059,0.130754176,0.104822058,0.136285113,0.052300095,0.12856581,0.07929094,0.234623001,0.08106091,0.090887852,0.044158411,0.098722242,0.169104471,0.226889802,0.245080771,0.064429346,0.017461459,0.080961013,0.073820774,0.122264306,0.149147864,0.112780158,0.135321667,0.144252341,1,0.079751553,Alan Auerbach
Michael McAleer,0.128158002,0.038384311,0.071682329,0.268510524,0.074625843,0.070737558,0.075115772,0.07983078,0.064242961,0.088291755,0.150554429,0.13555314,0.041129973,0.147450521,0.037799182,0.041014152,0.127990821,0.075237615,0.056175975,0.05255733,0.126411257,0.074436099,0.055060981,0.454272574,0.063965312,0.085793506,0.021784863,0.082007063,0.101235186,0.088983346,0.097065016,0.052494397,0.341595543,0.163611284,1,0.232546338,0.071146503,0.137414467,0.053847617,0.234981206,0.080960077,0.051699314,0.081550329,0.071265338,0.092303901,0.25566951,0.091366174,0.14779834,0.129623126,0.097585281,0.135559062,0.054126704,0.099421577,0.083337998,0.107487093,0.074079045,0.092816316,0.082891704,0.060563758,0.05221373,0.096359744,0.076537531,0.022266535,0.064958723,0.065835584,0.064476828,0.258705992,0.072977003,0.03552459,0.088270092,0.045692692,0.084822281,0.134453725,0.084187996,0.076121151,0.103554177,0.044771402,0.0852397,0.142615892,0.162450407,0.041199665,0.096137374,0.149528177,0.049244487,0.045564816,0.30145369,0.115209917,0.078970628,0.128301859,0.191077548,0.037486899,0.049384865,0.037799745,0.121493486,0.059626045,0.078328054,0.162660855,0.092148234,0.079449702,0.032618902,Michael McAleer
Elhanan Helpman,0.124810688,0.08537347,0.105392078,0.044388248,0.099952103,0.155739646,0.097776014,0.132739701,0.078877859,0.13196673,0.025398788,0.114455738,0.08337053,0.165551989,0.06731569,0.076713774,0.161838206,0.113910916,0.061087417,0.084345718,0.165036835,0.142476791,0.040267685,0.06813945,0.056366412,0.239048339,0.032629454,0.085731403,0.099255636,0.110532966,0.137275176,0.10152646,0.040377318,0.168396905,0.060563758,0.049724097,0.071944317,0.092841603,0.093450446,0.046878941,0.134079883,0.169330818,0.101046121,0.082614099,0.144045192,0.04279621,0.046706197,0.043121982,0.105724675,0.128973611,0.08374598,0.065058238,0.164575692,0.038213531,0.050899643,0.076393454,0.095972431,0.107355021,1,0.098686401,0.098268348,0.06393592,0.035650497,0.070541466,0.061346896,0.064669248,0.077658963,0.094549729,0.012994278,0.121729941,0.104649716,0.15967884,0.084431149,0.104332126,0.177457224,0.078468103,0.04958169,0.075186517,0.037632008,0.069860101,0.060705857,0.127339915,0.098598349,0.033607366,0.07203428,0.061735474,0.185997934,0.089027885,0.192105267,0.049204589,0.014242961,0.044550908,0.088872971,0.069957995,0.14340924,0.098292392,0.049765765,0.082678918,0.126265664,0.05736296,Elhanan Helpman
Robert Barro,0.124419263,0.113504347,0.114505777,0.069143998,0.172822754,0.177887987,0.113946148,0.121492374,0.125614387,0.147883359,0.058359428,0.122361082,0.051318673,0.181548435,0.129999139,0.090957959,0.181032989,0.068902481,0.084300144,0.073694787,0.171513679,0.104650497,0.10815429,0.083426182,0.101876386,0.200076808,0.036160627,0.152779807,0.184632667,0.151982979,0.146961044,0.2103809,0.064151603,0.183584304,0.088270092,0.086628045,0.152189314,0.08302,0.120179383,0.09900092,0.095090975,0.15619711,0.121060159,0.135662147,0.164771625,0.080382122,0.070399984,0.061713929,0.097255587,0.177447995,0.082422567,0.084399232,0.195491893,0.070927565,0.077325511,0.121453827,0.193399948,0.157127939,0.121729941,0.127363202,0.14921002,0.125580918,0.036262316,0.136725319,0.110993744,0.052256498,0.10832805,0.158936557,0.020870749,1,0.09466517,0.115400232,0.13736087,0.101958266,0.159747257,0.154413438,0.097298801,0.140836177,0.06958787,0.152427333,0.084332757,0.218305927,0.086614994,0.060513987,0.058447446,0.095797084,0.123404658,0.190587433,0.245250072,0.068595164,0.021690452,0.074063136,0.082429013,0.124250349,0.155636902,0.114999904,0.109698634,0.105631639,0.22531186,0.07160833,Robert Barro
